Description du problème,Label
La carte graphique du poste 8 surchauffe lors de l'utilisation.,Matériel
The application 54 displays an error message at launch.,Software
Le certificat de sécurité du site web 28 est expiré.,Sécurité
La connexion VPN avec le site 65 est interrompue fréquemment.,Réseau
The indexing process failed in the application 92.,Software
L'application 75 affiche un message d'erreur au lancement.,Logiciel
The application 34 displays an error message at launch.,Software
Une faille de sécurité a été détectée dans le système 7.,Sécurité
Le serveur 100 présente des erreurs de disque dur.,Matériel
Le processus d'indexation a échoué dans l'application 33.,Logiciel
Le système de refroidissement de 6 est défectueux.,Matériel
The server 1 is no longer responding due to overload.,Network
A security flaw was detected in the system 13.,Security
Une activité anormale suspectée sur le compte utilisateur 23.,Sécurité
The security certificate for the website 47 has expired.,Security
Le serveur 43 présente des erreurs de disque dur.,Matériel
The graphics card in workstation 22 overheats during use.,Hardware
Le serveur 59 présente des erreurs de disque dur.,Matériel
Critical update for the software 98 has not been applied.,Software
A security flaw was detected in the system 98.,Security
Le certificat de sécurité du site web 33 est expiré.,Sécurité
Le serveur 81 ne répond plus à cause d'une surcharge.,Réseau
The server 18 is no longer responding due to overload.,Network
Tentative d'intrusion sur le réseau détectée par le système de surveillance 8.,Sécurité
Tentative d'intrusion sur le réseau détectée par le système de surveillance 26.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 45.,Sécurité
The graphics card in workstation 71 overheats during use.,Hardware
The cooling system of 85 is defective.,Hardware
Une faille de sécurité a été détectée dans le système 73.,Sécurité
The indexing process failed in the application 35.,Software
Le serveur 80 ne répond plus à cause d'une surcharge.,Réseau
Le serveur 95 ne répond plus à cause d'une surcharge.,Réseau
Le serveur 77 présente des erreurs de disque dur.,Matériel
Le serveur 77 présente des erreurs de disque dur.,Matériel
Le processus d'indexation a échoué dans l'application 74.,Logiciel
The server 95 is showing hard drive errors.,Hardware
La carte graphique du poste 9 surchauffe lors de l'utilisation.,Matériel
The security certificate for the website 83 has expired.,Security
The graphics card in workstation 41 overheats during use.,Hardware
Le serveur 70 présente des erreurs de disque dur.,Matériel
The application 36 displays an error message at launch.,Software
Une activité anormale suspectée sur le compte utilisateur 41.,Sécurité
La bande passante est saturée sur le lien 33 depuis ce matin.,Réseau
Le certificat de sécurité du site web 80 est expiré.,Sécurité
Attempted network intrusion detected by surveillance system 81.,Security
The indexing process failed in the application 51.,Software
The server 32 is showing hard drive errors.,Hardware
Le switch réseau 18 a redémarré plusieurs fois de manière inattendue.,Réseau
Critical update for the software 69 has not been applied.,Software
Le switch réseau 81 a redémarré plusieurs fois de manière inattendue.,Réseau
The network switch 55 has restarted several times unexpectedly.,Network
Le système de refroidissement de 24 est défectueux.,Matériel
The security certificate for the website 58 has expired.,Security
L'application 36 affiche un message d'erreur au lancement.,Logiciel
Bandwidth is saturated on the link 32 since this morning.,Network
La connexion VPN avec le site 62 est interrompue fréquemment.,Réseau
Le système de gestion de base de données 46 est en panne depuis quelques heures.,Logiciel
VPN connection with site 65 is frequently interrupted.,Network
Tentative d'intrusion sur le réseau détectée par le système de surveillance 31.,Sécurité
Le système de refroidissement de 73 est défectueux.,Matériel
Le système de gestion de base de données 8 est en panne depuis quelques heures.,Logiciel
Attempted network intrusion detected by surveillance system 23.,Security
Le système de refroidissement de 7 est défectueux.,Matériel
The database management system 49 has been down for a few hours.,Software
Le système de refroidissement de 6 est défectueux.,Matériel
Mise à jour critique pour le logiciel 90 non appliquée.,Logiciel
La mémoire RAM dans le serveur 71 semble corrompue.,Matériel
The application 45 displays an error message at launch.,Software
Le certificat de sécurité du site web 16 est expiré.,Sécurité
Le processus d'indexation a échoué dans l'application 68.,Logiciel
Une activité anormale suspectée sur le compte utilisateur 40.,Sécurité
L'application 43 affiche un message d'erreur au lancement.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 75.,Sécurité
The application 84 displays an error message at launch.,Software
Mise à jour critique pour le logiciel 61 non appliquée.,Logiciel
A security flaw was detected in the system 88.,Security
The security certificate for the website 10 has expired.,Security
The server 75 is no longer responding due to overload.,Network
A security flaw was detected in the system 73.,Security
VPN connection with site 95 is frequently interrupted.,Network
La connexion VPN avec le site 59 est interrompue fréquemment.,Réseau
Critical update for the software 41 has not been applied.,Software
Bandwidth is saturated on the link 22 since this morning.,Network
Le serveur 9 ne répond plus à cause d'une surcharge.,Réseau
Tentative d'intrusion sur le réseau détectée par le système de surveillance 12.,Sécurité
Bandwidth is saturated on the link 60 since this morning.,Network
Le serveur 58 ne répond plus à cause d'une surcharge.,Réseau
Suspicious activity suspected on user account 46.,Security
Une faille de sécurité a été détectée dans le système 75.,Sécurité
Le switch réseau 72 a redémarré plusieurs fois de manière inattendue.,Réseau
VPN connection with site 41 is frequently interrupted.,Network
The RAM in server 59 appears to be corrupted.,Hardware
The database management system 24 has been down for a few hours.,Software
Le système de refroidissement de 44 est défectueux.,Matériel
Une activité anormale suspectée sur le compte utilisateur 45.,Sécurité
Critical update for the software 43 has not been applied.,Software
Le switch réseau 68 a redémarré plusieurs fois de manière inattendue.,Réseau
La mémoire RAM dans le serveur 68 semble corrompue.,Matériel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 50.,Sécurité
Suspicious activity suspected on user account 58.,Security
A security flaw was detected in the system 71.,Security
Critical update for the software 79 has not been applied.,Software
La mémoire RAM dans le serveur 49 semble corrompue.,Matériel
Le processus d'indexation a échoué dans l'application 95.,Logiciel
Le système de refroidissement de 52 est défectueux.,Matériel
Le serveur 33 présente des erreurs de disque dur.,Matériel
The database management system 30 has been down for a few hours.,Software
Suspicious activity suspected on user account 92.,Security
The graphics card in workstation 45 overheats during use.,Hardware
Le serveur 76 présente des erreurs de disque dur.,Matériel
Le système de gestion de base de données 30 est en panne depuis quelques heures.,Logiciel
Critical update for the software 52 has not been applied.,Software
Mise à jour critique pour le logiciel 44 non appliquée.,Logiciel
Une activité anormale suspectée sur le compte utilisateur 54.,Sécurité
La connexion VPN avec le site 45 est interrompue fréquemment.,Réseau
VPN connection with site 97 is frequently interrupted.,Network
The application 94 displays an error message at launch.,Software
The cooling system of 83 is defective.,Hardware
Le processus d'indexation a échoué dans l'application 42.,Logiciel
L'application 64 affiche un message d'erreur au lancement.,Logiciel
The cooling system of 10 is defective.,Hardware
Une faille de sécurité a été détectée dans le système 45.,Sécurité
The server 63 is no longer responding due to overload.,Network
VPN connection with site 33 is frequently interrupted.,Network
Mise à jour critique pour le logiciel 56 non appliquée.,Logiciel
La mémoire RAM dans le serveur 14 semble corrompue.,Matériel
Le certificat de sécurité du site web 91 est expiré.,Sécurité
Le switch réseau 62 a redémarré plusieurs fois de manière inattendue.,Réseau
The network switch 13 has restarted several times unexpectedly.,Network
Le certificat de sécurité du site web 91 est expiré.,Sécurité
Le système de gestion de base de données 94 est en panne depuis quelques heures.,Logiciel
The cooling system of 82 is defective.,Hardware
Le système de refroidissement de 77 est défectueux.,Matériel
Suspicious activity suspected on user account 39.,Security
The RAM in server 19 appears to be corrupted.,Hardware
The server 25 is showing hard drive errors.,Hardware
Le serveur 88 ne répond plus à cause d'une surcharge.,Réseau
The indexing process failed in the application 79.,Software
The indexing process failed in the application 99.,Software
A security flaw was detected in the system 57.,Security
Le switch réseau 27 a redémarré plusieurs fois de manière inattendue.,Réseau
Le serveur 74 présente des erreurs de disque dur.,Matériel
Mise à jour critique pour le logiciel 68 non appliquée.,Logiciel
The RAM in server 68 appears to be corrupted.,Hardware
Suspicious activity suspected on user account 37.,Security
A security flaw was detected in the system 71.,Security
The RAM in server 7 appears to be corrupted.,Hardware
La bande passante est saturée sur le lien 42 depuis ce matin.,Réseau
The application 31 displays an error message at launch.,Software
La bande passante est saturée sur le lien 8 depuis ce matin.,Réseau
The database management system 3 has been down for a few hours.,Software
The security certificate for the website 5 has expired.,Security
Le système de gestion de base de données 33 est en panne depuis quelques heures.,Logiciel
The graphics card in workstation 55 overheats during use.,Hardware
Une activité anormale suspectée sur le compte utilisateur 96.,Sécurité
La connexion VPN avec le site 45 est interrompue fréquemment.,Réseau
Le certificat de sécurité du site web 95 est expiré.,Sécurité
La bande passante est saturée sur le lien 76 depuis ce matin.,Réseau
Le serveur 14 présente des erreurs de disque dur.,Matériel
VPN connection with site 52 is frequently interrupted.,Network
Critical update for the software 68 has not been applied.,Software
VPN connection with site 52 is frequently interrupted.,Network
Attempted network intrusion detected by surveillance system 12.,Security
Suspicious activity suspected on user account 65.,Security
Le serveur 72 ne répond plus à cause d'une surcharge.,Réseau
Le système de refroidissement de 87 est défectueux.,Matériel
La mémoire RAM dans le serveur 50 semble corrompue.,Matériel
The network switch 23 has restarted several times unexpectedly.,Network
Suspicious activity suspected on user account 81.,Security
Le système de gestion de base de données 31 est en panne depuis quelques heures.,Logiciel
Le serveur 2 ne répond plus à cause d'une surcharge.,Réseau
The security certificate for the website 22 has expired.,Security
Une faille de sécurité a été détectée dans le système 34.,Sécurité
The RAM in server 27 appears to be corrupted.,Hardware
La bande passante est saturée sur le lien 56 depuis ce matin.,Réseau
Bandwidth is saturated on the link 75 since this morning.,Network
The cooling system of 70 is defective.,Hardware
Mise à jour critique pour le logiciel 72 non appliquée.,Logiciel
The network switch 95 has restarted several times unexpectedly.,Network
Une activité anormale suspectée sur le compte utilisateur 87.,Sécurité
Suspicious activity suspected on user account 70.,Security
Critical update for the software 49 has not been applied.,Software
The application 71 displays an error message at launch.,Software
Le serveur 39 présente des erreurs de disque dur.,Matériel
The security certificate for the website 95 has expired.,Security
The security certificate for the website 22 has expired.,Security
The database management system 39 has been down for a few hours.,Software
Bandwidth is saturated on the link 67 since this morning.,Network
The server 19 is no longer responding due to overload.,Network
Le switch réseau 45 a redémarré plusieurs fois de manière inattendue.,Réseau
The indexing process failed in the application 44.,Software
The RAM in server 82 appears to be corrupted.,Hardware
Suspicious activity suspected on user account 26.,Security
La mémoire RAM dans le serveur 33 semble corrompue.,Matériel
The application 87 displays an error message at launch.,Software
Le système de gestion de base de données 72 est en panne depuis quelques heures.,Logiciel
The network switch 90 has restarted several times unexpectedly.,Network
The network switch 24 has restarted several times unexpectedly.,Network
Tentative d'intrusion sur le réseau détectée par le système de surveillance 53.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 48.,Sécurité
L'application 57 affiche un message d'erreur au lancement.,Logiciel
The security certificate for the website 50 has expired.,Security
La connexion VPN avec le site 54 est interrompue fréquemment.,Réseau
Bandwidth is saturated on the link 74 since this morning.,Network
The database management system 4 has been down for a few hours.,Software
Le serveur 4 présente des erreurs de disque dur.,Matériel
L'application 7 affiche un message d'erreur au lancement.,Logiciel
Le serveur 82 présente des erreurs de disque dur.,Matériel
L'application 92 affiche un message d'erreur au lancement.,Logiciel
The server 45 is no longer responding due to overload.,Network
The security certificate for the website 44 has expired.,Security
The application 79 displays an error message at launch.,Software
The graphics card in workstation 73 overheats during use.,Hardware
The server 18 is showing hard drive errors.,Hardware
Le processus d'indexation a échoué dans l'application 32.,Logiciel
Le serveur 26 présente des erreurs de disque dur.,Matériel
Le système de refroidissement de 39 est défectueux.,Matériel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 22.,Sécurité
A security flaw was detected in the system 94.,Security
The cooling system of 27 is defective.,Hardware
Mise à jour critique pour le logiciel 87 non appliquée.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 71.,Sécurité
L'application 31 affiche un message d'erreur au lancement.,Logiciel
Une faille de sécurité a été détectée dans le système 22.,Sécurité
The database management system 40 has been down for a few hours.,Software
Une faille de sécurité a été détectée dans le système 36.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 63.,Sécurité
Attempted network intrusion detected by surveillance system 65.,Security
The network switch 70 has restarted several times unexpectedly.,Network
La connexion VPN avec le site 64 est interrompue fréquemment.,Réseau
VPN connection with site 33 is frequently interrupted.,Network
Bandwidth is saturated on the link 3 since this morning.,Network
Une faille de sécurité a été détectée dans le système 8.,Sécurité
The network switch 59 has restarted several times unexpectedly.,Network
The graphics card in workstation 46 overheats during use.,Hardware
VPN connection with site 89 is frequently interrupted.,Network
Suspicious activity suspected on user account 4.,Security
Critical update for the software 52 has not been applied.,Software
The indexing process failed in the application 56.,Software
Critical update for the software 94 has not been applied.,Software
L'application 20 affiche un message d'erreur au lancement.,Logiciel
The cooling system of 99 is defective.,Hardware
Une faille de sécurité a été détectée dans le système 33.,Sécurité
Le switch réseau 43 a redémarré plusieurs fois de manière inattendue.,Réseau
The application 3 displays an error message at launch.,Software
The network switch 94 has restarted several times unexpectedly.,Network
Le serveur 7 ne répond plus à cause d'une surcharge.,Réseau
La connexion VPN avec le site 64 est interrompue fréquemment.,Réseau
L'application 75 affiche un message d'erreur au lancement.,Logiciel
Bandwidth is saturated on the link 53 since this morning.,Network
Une faille de sécurité a été détectée dans le système 98.,Sécurité
La mémoire RAM dans le serveur 60 semble corrompue.,Matériel
The server 65 is no longer responding due to overload.,Network
The cooling system of 26 is defective.,Hardware
The server 38 is showing hard drive errors.,Hardware
VPN connection with site 15 is frequently interrupted.,Network
The graphics card in workstation 55 overheats during use.,Hardware
The security certificate for the website 9 has expired.,Security
La mémoire RAM dans le serveur 20 semble corrompue.,Matériel
La connexion VPN avec le site 75 est interrompue fréquemment.,Réseau
The graphics card in workstation 65 overheats during use.,Hardware
The indexing process failed in the application 71.,Software
The cooling system of 12 is defective.,Hardware
A security flaw was detected in the system 56.,Security
Le système de refroidissement de 98 est défectueux.,Matériel
The RAM in server 26 appears to be corrupted.,Hardware
Le processus d'indexation a échoué dans l'application 89.,Logiciel
Le certificat de sécurité du site web 24 est expiré.,Sécurité
La connexion VPN avec le site 92 est interrompue fréquemment.,Réseau
Le serveur 27 présente des erreurs de disque dur.,Matériel
Bandwidth is saturated on the link 66 since this morning.,Network
The network switch 65 has restarted several times unexpectedly.,Network
The server 12 is showing hard drive errors.,Hardware
La bande passante est saturée sur le lien 73 depuis ce matin.,Réseau
La connexion VPN avec le site 73 est interrompue fréquemment.,Réseau
La mémoire RAM dans le serveur 85 semble corrompue.,Matériel
Le processus d'indexation a échoué dans l'application 6.,Logiciel
Une faille de sécurité a été détectée dans le système 54.,Sécurité
Mise à jour critique pour le logiciel 12 non appliquée.,Logiciel
Le serveur 52 ne répond plus à cause d'une surcharge.,Réseau
The server 11 is showing hard drive errors.,Hardware
Le certificat de sécurité du site web 81 est expiré.,Sécurité
L'application 26 affiche un message d'erreur au lancement.,Logiciel
The database management system 20 has been down for a few hours.,Software
Critical update for the software 51 has not been applied.,Software
Le processus d'indexation a échoué dans l'application 57.,Logiciel
Le serveur 17 ne répond plus à cause d'une surcharge.,Réseau
La connexion VPN avec le site 64 est interrompue fréquemment.,Réseau
La connexion VPN avec le site 48 est interrompue fréquemment.,Réseau
La bande passante est saturée sur le lien 12 depuis ce matin.,Réseau
The application 26 displays an error message at launch.,Software
Le serveur 33 présente des erreurs de disque dur.,Matériel
The RAM in server 94 appears to be corrupted.,Hardware
Une faille de sécurité a été détectée dans le système 12.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 34.,Sécurité
Attempted network intrusion detected by surveillance system 84.,Security
The security certificate for the website 17 has expired.,Security
The server 65 is no longer responding due to overload.,Network
Le serveur 41 présente des erreurs de disque dur.,Matériel
La bande passante est saturée sur le lien 40 depuis ce matin.,Réseau
The indexing process failed in the application 97.,Software
Une activité anormale suspectée sur le compte utilisateur 37.,Sécurité
Le switch réseau 37 a redémarré plusieurs fois de manière inattendue.,Réseau
La carte graphique du poste 2 surchauffe lors de l'utilisation.,Matériel
Une activité anormale suspectée sur le compte utilisateur 72.,Sécurité
VPN connection with site 35 is frequently interrupted.,Network
Le système de gestion de base de données 86 est en panne depuis quelques heures.,Logiciel
Suspicious activity suspected on user account 35.,Security
Le serveur 6 présente des erreurs de disque dur.,Matériel
Le certificat de sécurité du site web 4 est expiré.,Sécurité
Suspicious activity suspected on user account 54.,Security
A security flaw was detected in the system 17.,Security
Le système de gestion de base de données 45 est en panne depuis quelques heures.,Logiciel
The RAM in server 100 appears to be corrupted.,Hardware
Le certificat de sécurité du site web 91 est expiré.,Sécurité
Bandwidth is saturated on the link 96 since this morning.,Network
L'application 26 affiche un message d'erreur au lancement.,Logiciel
The security certificate for the website 13 has expired.,Security
The graphics card in workstation 61 overheats during use.,Hardware
The indexing process failed in the application 24.,Software
Mise à jour critique pour le logiciel 48 non appliquée.,Logiciel
The RAM in server 48 appears to be corrupted.,Hardware
Tentative d'intrusion sur le réseau détectée par le système de surveillance 68.,Sécurité
The RAM in server 33 appears to be corrupted.,Hardware
Le switch réseau 20 a redémarré plusieurs fois de manière inattendue.,Réseau
Une activité anormale suspectée sur le compte utilisateur 54.,Sécurité
A security flaw was detected in the system 78.,Security
Le processus d'indexation a échoué dans l'application 93.,Logiciel
Mise à jour critique pour le logiciel 10 non appliquée.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 75.,Sécurité
The database management system 6 has been down for a few hours.,Software
VPN connection with site 73 is frequently interrupted.,Network
Le certificat de sécurité du site web 1 est expiré.,Sécurité
Suspicious activity suspected on user account 77.,Security
La mémoire RAM dans le serveur 90 semble corrompue.,Matériel
The security certificate for the website 43 has expired.,Security
Tentative d'intrusion sur le réseau détectée par le système de surveillance 73.,Sécurité
Une faille de sécurité a été détectée dans le système 86.,Sécurité
VPN connection with site 23 is frequently interrupted.,Network
The database management system 12 has been down for a few hours.,Software
The cooling system of 38 is defective.,Hardware
The network switch 53 has restarted several times unexpectedly.,Network
Le certificat de sécurité du site web 89 est expiré.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 8.,Sécurité
The server 6 is no longer responding due to overload.,Network
The network switch 36 has restarted several times unexpectedly.,Network
Critical update for the software 100 has not been applied.,Software
Le serveur 96 présente des erreurs de disque dur.,Matériel
Suspicious activity suspected on user account 64.,Security
Le processus d'indexation a échoué dans l'application 66.,Logiciel
The RAM in server 94 appears to be corrupted.,Hardware
Le switch réseau 93 a redémarré plusieurs fois de manière inattendue.,Réseau
The database management system 60 has been down for a few hours.,Software
Une activité anormale suspectée sur le compte utilisateur 37.,Sécurité
Bandwidth is saturated on the link 59 since this morning.,Network
L'application 30 affiche un message d'erreur au lancement.,Logiciel
Critical update for the software 90 has not been applied.,Software
The graphics card in workstation 87 overheats during use.,Hardware
The application 98 displays an error message at launch.,Software
Critical update for the software 4 has not been applied.,Software
La mémoire RAM dans le serveur 64 semble corrompue.,Matériel
Le switch réseau 67 a redémarré plusieurs fois de manière inattendue.,Réseau
VPN connection with site 22 is frequently interrupted.,Network
The network switch 47 has restarted several times unexpectedly.,Network
The indexing process failed in the application 36.,Software
The application 93 displays an error message at launch.,Software
Une faille de sécurité a été détectée dans le système 26.,Sécurité
The server 81 is showing hard drive errors.,Hardware
The RAM in server 78 appears to be corrupted.,Hardware
Critical update for the software 41 has not been applied.,Software
Le serveur 44 présente des erreurs de disque dur.,Matériel
Le serveur 25 présente des erreurs de disque dur.,Matériel
The indexing process failed in the application 50.,Software
The graphics card in workstation 78 overheats during use.,Hardware
Le processus d'indexation a échoué dans l'application 22.,Logiciel
Une faille de sécurité a été détectée dans le système 44.,Sécurité
The RAM in server 2 appears to be corrupted.,Hardware
Le serveur 81 ne répond plus à cause d'une surcharge.,Réseau
Tentative d'intrusion sur le réseau détectée par le système de surveillance 22.,Sécurité
Suspicious activity suspected on user account 80.,Security
Suspicious activity suspected on user account 79.,Security
L'application 69 affiche un message d'erreur au lancement.,Logiciel
The cooling system of 28 is defective.,Hardware
Tentative d'intrusion sur le réseau détectée par le système de surveillance 35.,Sécurité
Le serveur 38 présente des erreurs de disque dur.,Matériel
Une faille de sécurité a été détectée dans le système 94.,Sécurité
Mise à jour critique pour le logiciel 97 non appliquée.,Logiciel
The server 4 is showing hard drive errors.,Hardware
VPN connection with site 30 is frequently interrupted.,Network
La carte graphique du poste 6 surchauffe lors de l'utilisation.,Matériel
The cooling system of 39 is defective.,Hardware
Le serveur 14 ne répond plus à cause d'une surcharge.,Réseau
Le serveur 28 ne répond plus à cause d'une surcharge.,Réseau
Suspicious activity suspected on user account 94.,Security
The security certificate for the website 83 has expired.,Security
The RAM in server 15 appears to be corrupted.,Hardware
The application 24 displays an error message at launch.,Software
The indexing process failed in the application 67.,Software
The database management system 20 has been down for a few hours.,Software
Le switch réseau 45 a redémarré plusieurs fois de manière inattendue.,Réseau
La carte graphique du poste 49 surchauffe lors de l'utilisation.,Matériel
Le serveur 57 ne répond plus à cause d'une surcharge.,Réseau
Le certificat de sécurité du site web 44 est expiré.,Sécurité
Une faille de sécurité a été détectée dans le système 52.,Sécurité
Une faille de sécurité a été détectée dans le système 22.,Sécurité
Une faille de sécurité a été détectée dans le système 52.,Sécurité
The security certificate for the website 77 has expired.,Security
Le processus d'indexation a échoué dans l'application 68.,Logiciel
Le processus d'indexation a échoué dans l'application 65.,Logiciel
La bande passante est saturée sur le lien 29 depuis ce matin.,Réseau
La connexion VPN avec le site 83 est interrompue fréquemment.,Réseau
Critical update for the software 31 has not been applied.,Software
Le processus d'indexation a échoué dans l'application 61.,Logiciel
The application 52 displays an error message at launch.,Software
A security flaw was detected in the system 74.,Security
L'application 66 affiche un message d'erreur au lancement.,Logiciel
The server 65 is showing hard drive errors.,Hardware
Tentative d'intrusion sur le réseau détectée par le système de surveillance 74.,Sécurité
Attempted network intrusion detected by surveillance system 33.,Security
L'application 54 affiche un message d'erreur au lancement.,Logiciel
Le certificat de sécurité du site web 92 est expiré.,Sécurité
The server 63 is showing hard drive errors.,Hardware
Une activité anormale suspectée sur le compte utilisateur 7.,Sécurité
Le processus d'indexation a échoué dans l'application 26.,Logiciel
Critical update for the software 87 has not been applied.,Software
Attempted network intrusion detected by surveillance system 10.,Security
The server 5 is no longer responding due to overload.,Network
La carte graphique du poste 76 surchauffe lors de l'utilisation.,Matériel
The graphics card in workstation 28 overheats during use.,Hardware
Une faille de sécurité a été détectée dans le système 55.,Sécurité
The cooling system of 69 is defective.,Hardware
The cooling system of 76 is defective.,Hardware
The security certificate for the website 57 has expired.,Security
L'application 20 affiche un message d'erreur au lancement.,Logiciel
Bandwidth is saturated on the link 6 since this morning.,Network
Une faille de sécurité a été détectée dans le système 25.,Sécurité
The security certificate for the website 29 has expired.,Security
Le switch réseau 16 a redémarré plusieurs fois de manière inattendue.,Réseau
La mémoire RAM dans le serveur 72 semble corrompue.,Matériel
Mise à jour critique pour le logiciel 18 non appliquée.,Logiciel
The database management system 71 has been down for a few hours.,Software
Le certificat de sécurité du site web 45 est expiré.,Sécurité
Le système de refroidissement de 74 est défectueux.,Matériel
A security flaw was detected in the system 26.,Security
L'application 7 affiche un message d'erreur au lancement.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 47.,Sécurité
The RAM in server 25 appears to be corrupted.,Hardware
Le certificat de sécurité du site web 90 est expiré.,Sécurité
Le certificat de sécurité du site web 58 est expiré.,Sécurité
The indexing process failed in the application 99.,Software
Le serveur 9 ne répond plus à cause d'une surcharge.,Réseau
The network switch 63 has restarted several times unexpectedly.,Network
Mise à jour critique pour le logiciel 86 non appliquée.,Logiciel
The indexing process failed in the application 78.,Software
The application 45 displays an error message at launch.,Software
La mémoire RAM dans le serveur 21 semble corrompue.,Matériel
La mémoire RAM dans le serveur 74 semble corrompue.,Matériel
Le processus d'indexation a échoué dans l'application 76.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 24.,Sécurité
The server 94 is showing hard drive errors.,Hardware
Une faille de sécurité a été détectée dans le système 12.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 13.,Sécurité
The RAM in server 18 appears to be corrupted.,Hardware
Critical update for the software 78 has not been applied.,Software
Une faille de sécurité a été détectée dans le système 61.,Sécurité
Critical update for the software 86 has not been applied.,Software
Une faille de sécurité a été détectée dans le système 39.,Sécurité
A security flaw was detected in the system 57.,Security
Bandwidth is saturated on the link 31 since this morning.,Network
The database management system 61 has been down for a few hours.,Software
Une faille de sécurité a été détectée dans le système 53.,Sécurité
The security certificate for the website 60 has expired.,Security
Le processus d'indexation a échoué dans l'application 24.,Logiciel
Le processus d'indexation a échoué dans l'application 14.,Logiciel
Le certificat de sécurité du site web 32 est expiré.,Sécurité
Le certificat de sécurité du site web 43 est expiré.,Sécurité
The application 9 displays an error message at launch.,Software
